target,kepid,kepler_name,ra,dec,teff,srad,smass,dist_pc
KIC 8026752,8026752,Kepler-502,291.08014,43.860199,6228.0,1.049,1.107,1591.04
KIC 1872821,1872821,Kepler-1828,292.42758,37.320808,5806.0,0.899,0.996,871.81
KIC 8013439,8013439,Kepler-381,285.1828,43.831078,6197.0,2.188,1.198,267.323
KIC 6921944,6921944,Kepler-1105,281.11176,42.45491,4299.0,0.697,0.713,318.004
KIC 9532052,9532052,Kepler-67,294.15332,46.166439,5332.0,0.755,0.824,1131.19
KIC 8164012,8164012,Kepler-1106,291.1452,44.062538,5907.0,1.705,1.165,1090.7
KIC 4140813,4140813,Kepler-1795,286.47934,39.269958,4500.0,0.688,0.768,
KIC 8611781,8611781,Kepler-1135,286.00296,44.756592,5878.0,1.041,0.912,1314.64
KIC 3097926,3097926,,285.90848,38.212719,5062.0,0.853,0.803,
KIC 10518424,10518424,,283.75385,47.796951,6106.0,0.923,0.974,
KIC 5730445,5730445,,298.07474,40.94899,5009.0,0.799,0.763,
KIC 5601258,5601258,Kepler-1805,285.08655,40.898998,3867.0,0.552,0.581,221.639
KIC 7960980,7960980,Kepler-1170,292.16858,43.779671,5265.0,0.81,0.91,1050.45
KIC 8107225,8107225,Kepler-499,295.10995,43.915211,5216.0,0.804,0.896,556.726
KIC 3458028,3458028,Kepler-1171,294.95892,38.591572,7216.0,2.043,1.462,573.0
KIC 3342794,3342794,Kepler-376,291.60718,38.410389,5845.0,1.314,0.998,923.067
KIC 5716932,5716932,Kepler-1830,295.1391,40.979061,6160.0,2.046,1.443,1056.88
KIC 11288051,11288051,Kepler-124,286.75278,49.064911,4983.0,0.651,0.715,420.046
KIC 7515670,7515670,,287.80408,43.168961,6191.0,0.865,0.961,
KIC 11566256,11566256,Kepler-1831,295.30255,49.589119,6063.0,1.012,1.117,1053.49
KIC 8495415,8495415,Kepler-1208,291.88126,44.555729,5080.0,0.793,0.792,825.176
KIC 4055304,4055304,Kepler-1107,291.04993,39.14167,5132.0,0.886,0.82,428.798
KIC 4857213,4857213,Kepler-1680,297.07465,39.933849,5146.0,0.905,0.832,310.315
KIC 9415108,9415108,Kepler-1108,296.04233,45.985142,5362.0,1.032,0.873,767.701
KIC 4262581,4262581,Kepler-1109,291.64624,39.396629,5443.0,2.652,1.41,685.087
KIC 8591693,8591693,Kepler-1796,301.54297,44.60561,6036.0,0.949,1.018,825.883
KIC 4833421,4833421,Kepler-122,291.11188,39.949108,6038.0,1.191,0.995,1027.45
KIC 8282651,8282651,Kepler-1136,284.10779,44.245811,4478.0,0.651,0.637,491.406
KIC 3548044,3548044,Kepler-371,292.32645,38.657581,5670.0,0.95,0.802,813.192
KIC 11401767,11401767,Kepler-372,291.2562,49.258949,6056.0,1.209,1.147,1493.95
KIC 10909127,10909127,Kepler-1138,285.89923,48.307301,5431.0,0.843,0.945,872.328
KIC 3661886,3661886,Kepler-377,295.422,38.735691,5949.0,1.184,1.027,823.804
